Title,AvailableGlobally,ReleaseDate,HoursViewed
The Flash (2014): Season 8,No,,"4,09,00,000"
El Chapo: Season 1,Yes,16-06-2017,"4,06,00,000"
Shameless (U.S.): Season 3,No,,"4,06,00,000"
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,No,,"4,05,00,000"
Jane The Virgin: Season 2,No,,"4,04,00,000"
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,No,28-07-2021,"4,04,00,000"
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,25-10-2022,"4,03,00,000"
Pokémon Journeys: The Series: Season 1,No,,"4,03,00,000"
Seinfeld: Season 5,Yes,,"4,03,00,000"
Shrek Forever After,No,,"4,03,00,000"
The 100: Season 2,No,,"4,03,00,000"
Unsolved Mysteries: Volume 3,Yes,18-10-2022,"4,03,00,000"
Better Call Saul: Season 3,No,11-04-2017,"4,02,00,000"
The Last Kingdom: Season 2,Yes,20-03-2017,"4,02,00,000"
Too Hot to Handle: Germany: Season 1,Yes,28-02-2023,"4,02,00,000"
Avatar: The Last Airbender: Book 3,No,,"4,01,00,000"
Our Planet,Yes,05-04-2019,"4,01,00,000"
H2O: Just Add Water: Season 1,No,,"4,00,00,000"
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,Yes,17-04-2020,"3,99,00,000"
The Office (U.S.): Season 7,No,,"3,99,00,000"
Grey's Anatomy: Season 5,No,,"3,98,00,000"
Emergency: NYC: Season 1,Yes,29-03-2023,"3,97,00,000"
In the Name of God: A Holy Betrayal: Season 1 // 나는 신이다: 신이 배신한 사람들: 시즌 1,Yes,03-03-2023,"3,97,00,000"
Better Call Saul: Season 2,No,15-02-2016,"3,95,00,000"
Gabby's Dollhouse: Season 6,Yes,01-11-2022,"3,95,00,000"
Infiesto,Yes,03-02-2023,"3,95,00,000"
Sanctuary: Season 1 // サンクチュアリ -聖域-: シーズン1,No,04-05-2023,"3,94,00,000"
Suits (2011): Season 8,No,,"3,94,00,000"
Ganglands: Season 1 // Braqueurs : La série: Saison 1,Yes,24-09-2021,"3,93,00,000"
The Hunger Games,No,,"3,93,00,000"
Trolley: Limited Series // 트롤리: 리미티드 시리즈,Yes,19-12-2022,"3,92,00,000"
High Heat: Season 1 // Donde hubo fuego: Season 1,Yes,17-08-2022,"3,91,00,000"
Rosario Tijeras (Mexico): Season 3,No,,"3,89,00,000"
The Sinner: Season 4: Percy,No,26-01-2022,"3,89,00,000"
Avatar: The Last Airbender: Book 2,No,,"3,87,00,000"
Ozark: Season 4,Yes,21-01-2022,"3,87,00,000"
Shark Tale,No,,"3,87,00,000"
The Hatchet Wielding Hitchhiker,Yes,10-01-2023,"3,87,00,000"
6 Underground,Yes,13-12-2019,"3,86,00,000"
Better Call Saul: Season 4,No,07-08-2018,"3,86,00,000"
Narcos: Season 2,Yes,02-09-2016,"3,86,00,000"
Grey's Anatomy: Season 6,No,,"3,84,00,000"
Mother's Day // Dzień Matki,Yes,24-05-2023,"3,83,00,000"
Orange Is the New Black: Season 2,Yes,06-06-2014,"3,83,00,000"
Vikings (2013): Season 6,No,,"3,83,00,000"
El Chapo: Season 2,Yes,15-12-2017,"3,82,00,000"
Brooklyn Nine-Nine: Season 6,No,,"3,81,00,000"
Queer Eye: Season 7,Yes,12-05-2023,"3,81,00,000"
Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Yes,22-06-2023,"3,80,00,000"
The Big Bang Theory: Season 4,No,,"3,80,00,000"
The Good Doctor: Season 2,No,,"3,80,00,000"
Cúmplices de um Resgate: Season 1,No,,"3,78,00,000"
The Big Bang Theory: Season 6,No,,"3,78,00,000"
The Flash (2014): Season 3,No,,"3,77,00,000"
The Good Doctor: Season 3,No,,"3,77,00,000"
Back to the Outback,Yes,10-12-2021,"3,76,00,000"
Booba: Season 4,Yes,,"3,76,00,000"
The Big Bang Theory: Season 7,No,,"3,76,00,000"
Vikings (2013): Season 1,No,,"3,76,00,000"
As Aventuras de Poliana: Season 1,No,,"3,75,00,000"
The Big Bang Theory: Season 5,No,,"3,74,00,000"
The Rookie: Season 1,No,,"3,74,00,000"
Fauda: Season 1 // פאודה: עונה 1,Yes,02-12-2016,"3,73,00,000"
Mr. Sunshine: Season 1 // 미스터 션샤인: 시즌 1,Yes,07-07-2018,"3,73,00,000"
2 Guns,No,,"3,71,00,000"
"Lyle, Lyle, Crocodile",No,,"3,71,00,000"
Money Heist: Part 2 // La casa de papel: Parte 2,Yes,30-11-2017,"3,71,00,000"
Outlander: Season 2,No,10-04-2016,"3,71,00,000"
Queens on the Run // Fuga de reinas,No,14-04-2023,"3,71,00,000"
Shameless (U.S.): Season 4,No,,"3,71,00,000"
S.W.A.T. (2017): Season 4,No,,"3,70,00,000"
Peaky Blinders: Season 6,No,10-06-2022,"3,69,00,000"
Seinfeld: Season 8,Yes,,"3,69,00,000"
The Mitchells vs. The Machines,Yes,30-04-2021,"3,69,00,000"
PJ Masks: Season 4,No,,"3,67,00,000"
All For Love: Season 1 // Amar y vivir: Temporada 1,No,26-06-2020,"3,66,00,000"
Glamorous: Season 1,Yes,22-06-2023,"3,66,00,000"
Meekah: Season 1,Yes,,"3,66,00,000"
Peaky Blinders: Season 3,No,31-05-2016,"3,66,00,000"
Troll,Yes,01-12-2022,"3,66,00,000"
Rebelde Way (2002): Temporada 1,No,,"3,65,00,000"
The Big Bang Theory: Season 8,No,,"3,64,00,000"
Thicker Than Water: Season 1 // Jusqu'ici tout va bien: Saison 1,Yes,07-04-2023,"3,63,00,000"
Chris Rock: Selective Outrage,Yes,04-03-2023,"3,62,00,000"
Daughter From Another Mother: Season 3 // Madre solo hay dos: Temporada 3,Yes,25-12-2022,"3,62,00,000"
Grown Ups (2010),No,,"3,62,00,000"
Let Him Go,No,,"3,62,00,000"
Outlander: Season 6,No,07-03-2022,"3,62,00,000"
Against the Ropes: Season 1 // Contra las cuerdas: Temporada 1,No,25-01-2023,"3,61,00,000"
Ozark: Season 1,Yes,21-07-2017,"3,61,00,000"
A Quiet Place Part II,No,,"3,60,00,000"
My Little Pony: Friendship Is Magic: Season 1,Yes,,"3,60,00,000"
Power Rangers Dino Fury: Season 1,No,14-06-2021,"3,60,00,000"
Hotel Transylvania (2012),No,,"3,59,00,000"
The Office (U.S.): Season 4,No,,"3,59,00,000"
Ancient Apocalypse: Season 1,Yes,11-11-2022,"3,58,00,000"
Missing (2023),No,,"3,58,00,000"
Virgin River: Season 1,Yes,06-12-2019,"3,58,00,000"
Queen Cleopatra: Limited Series,Yes,10-05-2023,"3,57,00,000"
Shameless (U.S.): Season 5,No,,"3,56,00,000"
Record of Ragnarok: Season 1 // 終末のワルキューレ: シーズン1,No,17-06-2021,"3,55,00,000"
The Boss Baby: Back in the Crib: Season 1,Yes,19-05-2022,"3,55,00,000"
Wish Dragon,Yes,11-06-2021,"3,54,00,000"
Unstable: Season 1,Yes,30-03-2023,"3,53,00,000"
Bling Empire: New York: Season 1,Yes,20-01-2023,"3,52,00,000"
Grey's Anatomy: Season 8,No,,"3,52,00,000"
King the Land: Limited Series // 킹더랜드: 리미티드 시리즈,No,17-06-2023,"3,52,00,000"
The Big Bang Theory: Season 11,No,,"3,52,00,000"
Hospital Playlist: Season 1 // 슬기로운 의사생활: 시즌 1,Yes,12-03-2020,"3,50,00,000"
Keep Breathing: Limited Series,Yes,28-07-2022,"3,50,00,000"
The Big Bang Theory: Season 10,No,,"3,50,00,000"
Bad Boys for Life,No,,"3,49,00,000"
Inventing Anna: Limited Series,Yes,11-02-2022,"3,48,00,000"
The Big Bang Theory: Season 2,No,,"3,48,00,000"
El Cartel: Season 1,No,,"3,46,00,000"
That Girl Lay Lay: Season 2,No,23-02-2023,"3,46,00,000"
The Big Bang Theory: Season 3,No,,"3,46,00,000"
The Big Bang Theory: Season 9,No,,"3,46,00,000"
Unlock My Boss // 사장님을 잠금해제,No,,"3,45,00,000"
Bullet Train,No,,"3,44,00,000"
How to Get Away With Murder: Season 1,No,,"3,43,00,000"
Pressure Cooker: Season 1,Yes,06-01-2023,"3,43,00,000"
CoComelon: Season 8,Yes,10-04-2023,"3,42,00,000"
Shameless (U.S.): Season 6,No,,"3,41,00,000"
Vikings (2013): Season 2,No,,"3,41,00,000"
Cobra Kai: Season 1,Yes,28-08-2020,"3,40,00,000"
Grey's Anatomy: Season 7,No,,"3,40,00,000"
Jurassic World,No,,"3,40,00,000"
Riverdale: Season 2,No,12-10-2017,"3,40,00,000"
How to Get Rich: Season 1,Yes,18-04-2023,"3,39,00,000"
Prisoners (2013),No,,"3,39,00,000"
Forecasting Love and Weather: Season 1 // 기상청 사람들: 사내연애 잔혹사 편: 시즌 1,Yes,12-02-2022,"3,38,00,000"
Gabby's Dollhouse: Season 4,Yes,01-02-2022,"3,38,00,000"
Grey's Anatomy: Season 9,No,,"3,38,00,000"
Half Bad: The Bastard Son & The Devil Himself: Season 1,Yes,28-10-2022,"3,38,00,000"
Money Heist: Part 3 // La casa de papel: Parte 3,Yes,19-07-2019,"3,37,00,000"
Seinfeld: Season 9,Yes,,"3,37,00,000"
The 100: Season 3,No,,"3,37,00,000"
Teen Titans Go!: Season 2,No,,"3,35,00,000"
White Noise,Yes,30-12-2022,"3,35,00,000"
Barbecue Showdown: Season 2,Yes,26-05-2023,"3,34,00,000"
La piloto: Season 1,No,,"3,34,00,000"
The Witcher: Season 3,Yes,29-06-2023,"3,34,00,000"
The Crown: Season 2,Yes,08-12-2017,"3,33,00,000"
Outlander: Season 5,No,15-02-2020,"3,32,00,000"
Peaky Blinders: Season 4,No,20-12-2017,"3,32,00,000"
Shameless (U.S.): Season 9,No,,"3,31,00,000"
The Crown: Season 4,Yes,15-11-2020,"3,31,00,000"
S.W.A.T. (2017): Season 5,No,,"3,30,00,000"
Shooter: Season 3,No,22-06-2018,"3,30,00,000"
Through My Window // A través de mi ventana,Yes,04-02-2022,"3,30,00,000"
Gabby's Dollhouse: Season 3,Yes,19-10-2021,"3,29,00,000"
"Nevertheless,: Season 1 // 알고있지만,: 시즌 1",Yes,19-06-2021,"3,28,00,000"
The Big Bang Theory: Season 12,No,,"3,28,00,000"
Good Girls: Season 1,Yes,03-07-2018,"3,27,00,000"
The Bad Guys (2022),No,,"3,27,00,000"
Orange Is the New Black: Season 3,Yes,11-06-2015,"3,26,00,000"
Outlander: Season 3,No,10-09-2017,"3,25,00,000"
Devil in Ohio: Limited Series,Yes,02-09-2022,"3,24,00,000"
Jane The Virgin: Season 3,No,,"3,24,00,000"
Our Planet II,Yes,14-06-2023,"3,24,00,000"
The Flash (2014): Season 4,No,,"3,24,00,000"
Grey's Anatomy: Season 10,No,,"3,23,00,000"
My Name: Season 1 // 마이 네임: 시즌 1,Yes,15-10-2021,"3,23,00,000"
Shameless (U.S.): Season 7,No,,"3,23,00,000"
Shooter (2007),No,,"3,23,00,000"
Friends (1994): Season 10,No,,"3,22,00,000"
Cobra Kai: Season 4,Yes,31-12-2021,"3,21,00,000"
High Water: Season 1 // Wielka Woda: Sezon 1,Yes,05-10-2022,"3,21,00,000"
Hospital Playlist: Season 2 // 슬기로운 의사생활: 시즌 2,Yes,17-06-2021,"3,21,00,000"
Me Time,Yes,26-08-2022,"3,21,00,000"
My Name Is Vendetta // Il Mio Nome è Vendetta,Yes,30-11-2022,"3,21,00,000"
The Fabulous: Season 1 // 더 패뷸러스: 시즌 1,Yes,23-12-2022,"3,20,00,000"
Oddballs: Season 1,Yes,07-10-2022,"3,19,00,000"
Pitch Perfect,No,,"3,19,00,000"
The Seven Deadly Sins // 七つの大罪,No,31-08-2015,"3,19,00,000"
Unauthorized Living: Season 1 // Vivir sin permiso: Temporada 1,Yes,08-02-2019,"3,18,00,000"
13 Reasons Why: Season 1,Yes,31-03-2017,"3,17,00,000"
Over the Hedge,No,,"3,17,00,000"
Our Beloved Summer: Season 1 // 그 해 우리는: 시즌 1,Yes,06-12-2021,"3,16,00,000"
Good Girls: Season 4,Yes,31-08-2021,"3,15,00,000"
Turn of the Tide: Season 1 // Rabo de Peixe: Temporada 1,Yes,26-05-2023,"3,15,00,000"
The SpongeBob Movie: Sponge on the Run,No,05-11-2020,"3,14,00,000"
Good Girls: Season 2,Yes,31-05-2019,"3,13,00,000"
Pokémon Ultimate Journeys: The Series: Part 1,No,21-10-2022,"3,13,00,000"
Mission Majnu // मिशन मजनू,Yes,20-01-2023,"3,12,00,000"
Peaky Blinders: Season 5,No,04-10-2019,"3,12,00,000"
Bad Boys II,No,,"3,11,00,000"
Betty en NY: Season 1,No,,"3,11,00,000"
El Chapo: Season 3,Yes,27-07-2018,"3,11,00,000"
Rise of Empires: Ottoman: Mehmed vs. Vlad,Yes,29-12-2022,"3,11,00,000"
The Sea Beyond: Season 1 // Mare Fuori: Stagione 1,No,,"3,10,00,000"
The Sea Beyond: Season 2 // Mare Fuori: Stagione 2,No,,"3,10,00,000"
Where the Crawdads Sing,No,,"3,10,00,000"
Anne with an E: Season 1,Yes,12-05-2017,"3,09,00,000"
Dead to Me: Season 3,Yes,17-11-2022,"3,09,00,000"
My Lover My Killer: Season 2,No,,"3,08,00,000"
Still Time // Era ora,Yes,16-03-2023,"3,08,00,000"
Hunter X Hunter (2011): Season 5 // HUNTER×HUNTER: シーズン5,No,,"3,07,00,000"
Awaken: Season 1 // 낮과 밤: 시즌 1,Yes,,"3,06,00,000"
Enola Holmes 2,Yes,04-11-2022,"3,06,00,000"
Indian Matchmaking: Season 3,Yes,21-04-2023,"3,06,00,000"
The Umbrella Academy: Season 1,Yes,15-02-2019,"3,06,00,000"
Break Point: Season 1,Yes,13-01-2023,"3,05,00,000"
Minions & More Volume 2,Yes,,"3,05,00,000"
Money Heist: Part 4 // La casa de papel: Parte 4,Yes,03-04-2020,"3,04,00,000"
Outlander: Season 4,No,05-11-2018,"3,04,00,000"
Shameless (U.S.): Season 8,No,,"3,04,00,000"
Downton Abbey: Series 2,No,,"3,03,00,000"
Love at First Kiss // Eres tú,Yes,03-03-2023,"3,03,00,000"
Pedro el escamoso: Season 1,No,,"3,03,00,000"
Start-Up: Season 1 // 스타트업: 시즌 1,Yes,17-10-2020,"3,03,00,000"
Tonight You're Sleeping with Me // Dzisiaj śpisz ze mną,Yes,01-03-2023,"3,03,00,000"
Grey's Anatomy: Season 11,No,,"3,02,00,000"
Narcos: Mexico: Season 1,Yes,16-11-2018,"3,02,00,000"
Señora Acero: Season 1,No,,"3,02,00,000"
Alba: Season 1,No,15-07-2022,"3,01,00,000"
DC Super Hero Girls (2019): Season 1,No,,"3,01,00,000"
In His Shadow // Le Roi des ombres,Yes,17-03-2023,"3,01,00,000"
Love Is Blind: Brazil: Season 3 // Casamento às Cegas: Brasil: Temporada 3,Yes,07-06-2023,"3,01,00,000"
Penguins of Madagascar: The Movie,No,,"3,01,00,000"
Sniper: Ghost Shooter,No,,"3,01,00,000"
Spenser Confidential,Yes,06-03-2020,"3,01,00,000"
The Adam Project,Yes,11-03-2022,"3,01,00,000"
The Last Dance: Limited Series,No,20-04-2020,"3,01,00,000"
Elite: Season 6 // Élite: Temporada 6,Yes,18-11-2022,"3,00,00,000"
I See You,No,09-07-2020,"3,00,00,000"
The Good Nurse,Yes,26-10-2022,"3,00,00,000"
All American: Homecoming: Season 2,No,,"2,99,00,000"
Brooklyn Nine-Nine: Season 8,No,,"2,99,00,000"
Godless: Limited Series,Yes,22-11-2017,"2,99,00,000"
Riverdale: Season 6,No,17-11-2021,"2,99,00,000"
Flower of Evil: Season 1 // 악의 꽃: 시즌 1,Yes,,"2,98,00,000"
Invisible City: Season 2 // Cidade Invisível: Temporada 2,Yes,22-03-2023,"2,98,00,000"
The Rookie: Season 2,No,,"2,98,00,000"
Anne with an E: Season 2,Yes,06-07-2018,"2,97,00,000"
Is It Cake?: Season 1,Yes,18-03-2022,"2,97,00,000"
Mrs. Chatterjee vs Norway // मिसेज़ चैटर्जी vs नॉर्वे,No,,"2,96,00,000"
The Crown: Season 3,Yes,17-11-2019,"2,96,00,000"
The Midnight Club: Season 1,Yes,07-10-2022,"2,96,00,000"
The Office (U.S.): Season 8,No,,"2,96,00,000"
Fate: The Winx Saga: Season 2,Yes,16-09-2022,"2,95,00,000"
Invisible City: Season 1 // Cidade Invisível: Temporada 1,Yes,05-02-2021,"2,95,00,000"
Itaewon Class: Season 1 // 이태원 클라쓰: 시즌 1,Yes,31-01-2020,"2,95,00,000"
Locked Up: Season 1 // Vis a vis: Temporada 1,No,18-10-2015,"2,95,00,000"
Noah (2014),No,,"2,95,00,000"
RRR (Hindi),No,,"2,94,00,000"
YES DAY,Yes,12-03-2021,"2,94,00,000"
You Do You // Merve Kült,Yes,09-06-2023,"2,94,00,000"
A Girl and an Astronaut: Season 1 // Dziewczyna i kosmonauta: Sezon 1,Yes,17-02-2023,"2,93,00,000"
ALVINNN!!! And the Chipmunks: Season 2,No,,"2,93,00,000"
Close to Home: Murder in the Coalfield: Season 1 // Lauchhammer - Tod in der Lausitz: Staffel 1,Yes,,"2,93,00,000"
Designated Survivor: Season 3,Yes,07-06-2019,"2,92,00,000"
Echoes: Limited Series,Yes,19-08-2022,"2,92,00,000"
Sharkdog: Season 1,Yes,03-09-2021,"2,92,00,000"
The Office (U.S.): Season 9,No,,"2,92,00,000"
Peppa Pig: Season 3,No,,"2,91,00,000"
Titans: Season 1,No,11-01-2019,"2,91,00,000"
Day Shift,Yes,12-08-2022,"2,90,00,000"
Married at First Sight: Season 12,No,,"2,90,00,000"
Power Rangers Dino Fury: Season 2,No,03-03-2022,"2,90,00,000"
Vikings (2013): Season 3,No,,"2,90,00,000"
Demon Slayer: Kimetsu no Yaiba: Entertainment District Arc // 鬼滅の刃: 遊郭編,No,,"2,89,00,000"
The Man from Toronto,Yes,24-06-2022,"2,89,00,000"
Trolls World Tour,No,,"2,89,00,000"
Grey's Anatomy: Season 4,No,,"2,88,00,000"
Teen Titans Go!: Season 3,No,,"2,88,00,000"
The Irishman,Yes,27-11-2019,"2,88,00,000"
The Swimmers,Yes,23-11-2022,"2,88,00,000"
Virgin River: Season 3,Yes,09-07-2021,"2,87,00,000"
Arrow: Season 2,No,,"2,86,00,000"
Cobra Kai: Season 2,Yes,28-08-2020,"2,86,00,000"
Lost in Space: Season 1,Yes,13-04-2018,"2,86,00,000"
Princess Power: Season 1,Yes,30-01-2023,"2,86,00,000"
Riverdale: Season 1,No,27-01-2017,"2,86,00,000"
Sky Rojo: Season 1,Yes,19-03-2021,"2,86,00,000"
Trollhunters: Tales of Arcadia: Part 1,Yes,23-12-2016,"2,85,00,000"
Cobra Kai: Season 3,Yes,01-01-2021,"2,84,00,000"
Fauda: Season 2 // פאודה: עונה 2,Yes,24-05-2018,"2,84,00,000"
Honest Thief,No,,"2,83,00,000"
Tex Mex Motors: Season 1,Yes,09-06-2023,"2,83,00,000"
Transformers: Revenge of the Fallen,No,,"2,83,00,000"
Virgin River: Season 2,Yes,27-11-2020,"2,83,00,000"
Henry Danger: Season 5,No,,"2,82,00,000"
The Hunger Games: Catching Fire,No,,"2,82,00,000"
The Loud House: Season 2,No,,"2,82,00,000"
Army of Thieves,Yes,29-10-2021,"2,81,00,000"
Fifty Shades Darker,No,,"2,81,00,000"
The Deep End of the Ocean,No,,"2,81,00,000"
The Hangover,No,,"2,81,00,000"
The Old Guard,Yes,10-07-2020,"2,81,00,000"
Transformers: Dark of the Moon,No,,"2,81,00,000"
Workin' Moms: Season 1,Yes,04-01-2019,"2,81,00,000"
Gymnastics Academy: A Second Chance: Season 1,Yes,16-09-2022,"2,80,00,000"
Naruto: Season 1 // NARUTO-ナルト-: シーズン1,No,,"2,80,00,000"
Orange Is the New Black: Season 4,Yes,17-06-2016,"2,80,00,000"
The Angry Birds Movie,No,,"2,80,00,000"
Anne with an E: Season 3,Yes,03-01-2020,"2,79,00,000"
Cry Babies Magic Tears: Season 2,Yes,,"2,79,00,000"
Harry Potter and the Sorcerer's Stone,No,,"2,79,00,000"
How I Became a Gangster // Jak zostalem gangsterem. Historia prawdziwa,Yes,01-06-2020,"2,79,00,000"
Peppa Pig: Season 4,No,,"2,79,00,000"
Sex Education: Season 1,Yes,11-01-2019,"2,79,00,000"
The Cook of Castamar: Season 1 // La cocinera de Castamar: Season 1,No,08-04-2021,"2,79,00,000"
Fauda: Season 3 // פאודה: עונה 3,Yes,16-04-2020,"2,78,00,000"
Locke & Key: Season 1,Yes,07-02-2020,"2,78,00,000"
Our Universe: Limited Series,Yes,22-11-2022,"2,78,00,000"
Peppa Pig: Season 5,No,,"2,78,00,000"
Run On: Season 1 // 런 온: 시즌 1,Yes,16-12-2020,"2,78,00,000"
Sonic Boom: Season 1,No,,"2,78,00,000"
Class: Season 1 // क्लास: सीज़न 1,Yes,03-02-2023,"2,77,00,000"
Heartbreak High: Season 1,Yes,14-09-2022,"2,77,00,000"
Rebelde Way (2002): Temporada 2,No,,"2,77,00,000"
Tale of the Nine Tailed // 구미호뎐,No,,"2,77,00,000"
The Flash (2014): Season 5,No,,"2,77,00,000"
Brooklyn Nine-Nine: Season 7,No,,"2,76,00,000"
Hit & Run: Season 1,Yes,06-08-2021,"2,76,00,000"
Kung Fu Panda 3,No,18-08-2016,"2,76,00,000"
MINDHUNTER: Season 1,Yes,13-10-2017,"2,76,00,000"
Shadowhunters: The Mortal Instruments: Season 1,No,13-01-2016,"2,76,00,000"
The Chosen: Season 1,No,,"2,76,00,000"
The Uncanny Counter: Season 1 // 경이로운 소문: 시즌 1,Yes,28-11-2020,"2,76,00,000"
Oh My Venus: Season 1 // 오 마이 비너스: 시즌1,No,,"2,75,00,000"
Riverdale: Season 3,No,11-10-2018,"2,75,00,000"
Teen Wolf (2011): Season 5,No,,"2,75,00,000"
Vivo,Yes,06-08-2021,"2,75,00,000"
El Dragón: Return of a Warrior: Season 1 // El Dragón: El regreso de un guerrero: Temporada 1,No,04-10-2019,"2,74,00,000"
Remarriage & Desires: Season 1 // 블랙의 신부: 시즌 1,Yes,15-07-2022,"2,74,00,000"
Señora Acero: Season 2,No,,"2,74,00,000"
Shadowhunters: The Mortal Instruments: Season 2,No,03-01-2017,"2,74,00,000"
Army of the Dead,Yes,21-05-2021,"2,73,00,000"
Dr. Romantic: Season 1 // 낭만닥터 김사부1,No,,"2,73,00,000"
Hotel Transylvania 3: Summer Vacation,No,,"2,73,00,000"
Jurassic World Camp Cretaceous: Season 1,Yes,18-09-2020,"2,73,00,000"
Mission: Impossible - Fallout,No,,"2,73,00,000"
Noise,Yes,17-03-2023,"2,73,00,000"
Shanty Town: Season 1,Yes,20-01-2023,"2,73,00,000"
The Seven Deadly Sins: Revival of The Commandments // 七つの大罪: 戒めの復活,No,12-01-2018,"2,73,00,000"
Shameless (U.S.): Season 10,No,,"2,72,00,000"
Zig & Sharko: Season 3,No,,"2,72,00,000"
Dynasty: Season 1,Yes,12-10-2017,"2,71,00,000"
Narcos: Season 3,Yes,01-09-2017,"2,71,00,000"
Sweet Home: Season 1 // 스위트홈: 시즌 1,Yes,18-12-2020,"2,71,00,000"
Teen Wolf (2011): Season 1,No,,"2,71,00,000"
The Imperfects: Season 1,Yes,08-09-2022,"2,71,00,000"
The Longest Yard (2005),No,,"2,71,00,000"
The Secret Life of Pets,No,,"2,71,00,000"
Tomorrow: Season 1 // 내일: 시즌 1,Yes,01-04-2022,"2,71,00,000"
Tu Jhoothi Main Makkaar // तू झूठी मैं मक्कार,No,,"2,71,00,000"
Unbelievable: Limited Series,Yes,13-09-2019,"2,71,00,000"
Dark Desire: Season 1 // Oscuro deseo: Temporada 1,Yes,15-07-2020,"2,70,00,000"
Grey's Anatomy: Season 12,No,,"2,70,00,000"
Little Baby Bum: Nursery Rhyme Friends: Season 2,Yes,,"2,70,00,000"
Seven Seconds: Limited Series,Yes,23-02-2018,"2,70,00,000"
Dragged Across Concrete,No,,"2,69,00,000"
iCarly (2007): Season 1,No,,"2,68,00,000"
Junji Ito Maniac: Japanese Tales of the Macabre: Season 1 // 伊藤潤二『マニアック』: シーズン1,No,19-01-2023,"2,68,00,000"
Just Go With It,No,,"2,68,00,000"
Lady Chatterley's Lover,Yes,02-12-2022,"2,68,00,000"
Señora Acero: Season 3,No,,"2,68,00,000"
All American: Season 4,No,,"2,67,00,000"
Death Note (2006) // DEATH NOTE -デスノート-,No,,"2,67,00,000"
Jane The Virgin: Season 5,Yes,,"2,67,00,000"
The Makanai: Cooking for the Maiko House: Season 1 // 舞妓さんちのまかないさん: シーズン1,Yes,12-01-2023,"2,67,00,000"
"Better Than Us: Season 1 // Лучше, чем люди: 1 сезон",Yes,16-08-2019,"2,66,00,000"
Downton Abbey: Series 3,No,,"2,66,00,000"
El Cartel 2: Season 1,No,,"2,66,00,000"
Insatiable: Season 1,Yes,10-08-2018,"2,66,00,000"
Lou,Yes,23-09-2022,"2,66,00,000"
Shameless (U.S.): Season 11,No,,"2,66,00,000"
Teletubbies: Season 1,No,14-11-2022,"2,66,00,000"
Ted (2012),No,,"2,65,00,000"
Triple Frontier,Yes,13-03-2019,"2,65,00,000"
Kung Fu Panda: The Dragon Knight: Season 2,Yes,12-01-2023,"2,64,00,000"
Slumberland,Yes,18-11-2022,"2,64,00,000"
Uncharted (2022),No,,"2,64,00,000"
Ozark: Season 2,Yes,31-08-2018,"2,63,00,000"
Sex Education: Season 3,Yes,17-09-2021,"2,63,00,000"
The Emoji Movie,No,,"2,63,00,000"
A Korean Odyssey: Season 1 // 화유기: 시즌1,Yes,29-12-2017,"2,62,00,000"
